sub_id,ses_id
sub-A00040798,ses-BAS1
sub-A00040798,ses-FLU1
sub-A00040798,ses-FLU2
sub-A00040798,ses-TRT
sub-A00040800,ses-BAS1
sub-A00040800,ses-FLU1
sub-A00040800,ses-FLU2
sub-A00040800,ses-TRT
sub-A00040806,ses-BAS1
sub-A00040815,ses-BAS1
sub-A00040815,ses-FLU1
sub-A00040815,ses-FLU2
sub-A00040815,ses-TRT
sub-A00040827,ses-BAS1
sub-A00040890,ses-BAS1
sub-A00040891,ses-BAS1
sub-A00040915,ses-BAS1
sub-A00040944,ses-BAS1
sub-A00041049,ses-BAS1
sub-A00041503,ses-BAS1
sub-A00041540,ses-BAS1
sub-A00043240,ses-BAS1
sub-A00043240,ses-TRT
sub-A00043282,ses-BAS1
sub-A00043283,ses-BAS1
sub-A00043299,ses-BAS1
sub-A00043324,ses-BAS1
sub-A00043325,ses-BAS1
sub-A00043384,ses-BAS1
sub-A00043417,ses-BAS1
sub-A00043450,ses-BAS1
sub-A00043462,ses-BAS1
sub-A00043466,ses-BAS1
sub-A00043494,ses-BAS1
sub-A00043494,ses-TRT
sub-A00043509,ses-BAS1
sub-A00043520,ses-BAS1
sub-A00043521,ses-BAS1
sub-A00043617,ses-BAS1
sub-A00043617,ses-BAS2
sub-A00043617,ses-FLU1
sub-A00043634,ses-BAS1
sub-A00043635,ses-BAS1
sub-A00043649,ses-BAS1
sub-A00043677,ses-BAS1
sub-A00043704,ses-BAS1
sub-A00043721,ses-BAS1
sub-A00043722,ses-BAS1
sub-A00043739,ses-BAS1
sub-A00043740,ses-BAS1
sub-A00043740,ses-FLU1
sub-A00043740,ses-TRT
sub-A00043758,ses-BAS1
sub-A00043762,ses-BAS1
sub-A00043762,ses-BAS2
sub-A00043762,ses-FLU2
sub-A00043788,ses-BAS1
sub-A00043788,ses-FLU1
sub-A00043788,ses-TRT
sub-A00043790,ses-BAS1
sub-A00043998,ses-BAS1
sub-A00044011,ses-BAS1
sub-A00044012,ses-BAS1
sub-A00044068,ses-BAS1
sub-A00044084,ses-BAS1
sub-A00044084,ses-FLU1
sub-A00044130,ses-BAS1
sub-A00044131,ses-BAS1
sub-A00044154,ses-BAS1
sub-A00044171,ses-BAS1
sub-A00044291,ses-BAS1
sub-A00044307,ses-BAS1
sub-A00044344,ses-BAS1
sub-A00044345,ses-BAS1
sub-A00044369,ses-BAS1
sub-A00044370,ses-BAS1
sub-A00044405,ses-BAS1
sub-A00044408,ses-BAS1
sub-A00044410,ses-BAS1
sub-A00044427,ses-BAS1
sub-A00045554,ses-BAS1
sub-A00045589,ses-BAS1
sub-A00045590,ses-BAS1
sub-A00050679,ses-BAS1
sub-A00050720,ses-BAS1
sub-A00050721,ses-BAS1
sub-A00050742,ses-BAS1
sub-A00050743,ses-BAS1
sub-A00050795,ses-BAS1
sub-A00050815,ses-BAS1
sub-A00050847,ses-BAS1
sub-A00050847,ses-FLU1
sub-A00050847,ses-FLU2
sub-A00050848,ses-BAS1
sub-A00050848,ses-FLU1
sub-A00050848,ses-FLU2
sub-A00050848,ses-TRT
sub-A00050911,ses-BAS1
sub-A00050912,ses-BAS1
sub-A00050940,ses-BAS1
sub-A00050977,ses-BAS1
sub-A00050998,ses-BAS1
sub-A00051023,ses-BAS1
sub-A00051063,ses-BAS1
sub-A00051064,ses-BAS1
sub-A00051455,ses-BAS1
sub-A00051456,ses-BAS1
sub-A00051456,ses-BAS2
sub-A00051456,ses-FLU1
sub-A00051456,ses-FLU2
sub-A00051457,ses-BAS1
sub-A00051477,ses-BAS1
sub-A00051513,ses-BAS1
sub-A00051514,ses-BAS1
sub-A00051517,ses-BAS1
sub-A00051528,ses-BAS1
sub-A00051529,ses-BAS1
sub-A00051539,ses-BAS1
sub-A00051548,ses-BAS1
sub-A00051603,ses-BAS1
sub-A00051604,ses-BAS1
sub-A00051638,ses-BAS1
sub-A00051658,ses-BAS1
sub-A00051676,ses-BAS1
sub-A00051678,ses-BAS1
sub-A00051679,ses-BAS1
sub-A00051690,ses-BAS1
sub-A00051691,ses-BAS1
sub-A00051691,ses-FLU1
sub-A00051691,ses-FLU2
sub-A00051691,ses-TRT
sub-A00051726,ses-BAS1
sub-A00051727,ses-BAS1
sub-A00051727,ses-TRT
sub-A00051758,ses-BAS1
sub-A00051774,ses-BAS1
sub-A00051796,ses-BAS1
sub-A00051835,ses-BAS1
sub-A00051835,ses-BAS2
sub-A00051835,ses-FLU1
sub-A00051835,ses-FLU2
sub-A00051882,ses-BAS1
sub-A00051882,ses-BAS2
sub-A00051882,ses-FLU1
sub-A00051925,ses-BAS1
sub-A00051927,ses-BAS1
sub-A00052069,ses-BAS1
sub-A00052069,ses-FLU1
sub-A00052069,ses-TRT
sub-A00052070,ses-BAS1
sub-A00052117,ses-BAS1
sub-A00052117,ses-BAS2
sub-A00052118,ses-BAS1
sub-A00052125,ses-BAS1
sub-A00052126,ses-BAS1
sub-A00052165,ses-BAS1
sub-A00052165,ses-TRT
sub-A00052180,ses-BAS1
sub-A00052181,ses-BAS1
sub-A00052181,ses-BAS2
sub-A00052181,ses-FLU1
sub-A00052182,ses-FLU1
sub-A00052182,ses-FLU2
sub-A00052182,ses-TRT
sub-A00052183,ses-BAS1
sub-A00052183,ses-FLU1
sub-A00052183,ses-FLU2
sub-A00052183,ses-TRT
sub-A00052197,ses-BAS1
sub-A00052214,ses-BAS1
sub-A00052234,ses-BAS1
sub-A00052234,ses-BAS2
sub-A00052234,ses-FLU1
sub-A00052234,ses-FLU2
sub-A00052235,ses-BAS1
sub-A00052237,ses-BAS1
sub-A00052237,ses-FLU1
sub-A00052237,ses-FLU2
sub-A00052237,ses-TRT
sub-A00052307,ses-BAS1
sub-A00052319,ses-BAS1
sub-A00052340,ses-BAS1
sub-A00052461,ses-BAS1
sub-A00052461,ses-FLU1
sub-A00052461,ses-FLU2
sub-A00052461,ses-TRT
sub-A00052499,ses-BAS1
sub-A00052500,ses-BAS1
sub-A00052502,ses-BAS1
sub-A00052560,ses-BAS1
sub-A00052577,ses-BAS1
sub-A00052577,ses-BAS2
sub-A00052577,ses-FLU1
sub-A00052577,ses-FLU2
sub-A00052612,ses-BAS1
sub-A00052613,ses-BAS1
sub-A00052614,ses-BAS1
sub-A00052639,ses-BAS1
sub-A00053171,ses-BAS1
sub-A00053171,ses-FLU1
sub-A00053171,ses-FLU2
sub-A00053202,ses-BAS1
sub-A00053202,ses-BAS2
sub-A00053202,ses-FLU1
sub-A00053202,ses-FLU2
sub-A00053203,ses-BAS1
sub-A00053203,ses-FLU1
sub-A00053203,ses-TRT
sub-A00053320,ses-BAS1
sub-A00053320,ses-FLU1
sub-A00053320,ses-FLU2
sub-A00053320,ses-TRT
sub-A00053369,ses-BAS1
sub-A00053390,ses-BAS1
sub-A00053390,ses-TRT
sub-A00053455,ses-BAS1
sub-A00053456,ses-BAS1
sub-A00053473,ses-BAS1
sub-A00053474,ses-BAS1
sub-A00053475,ses-BAS1
sub-A00053490,ses-BAS1
sub-A00053490,ses-TRT
sub-A00053546,ses-BAS1
sub-A00053576,ses-BAS1
sub-A00053577,ses-BAS1
sub-A00053578,ses-BAS1
sub-A00053625,ses-BAS1
sub-A00053626,ses-BAS1
sub-A00053627,ses-BAS1
sub-A00053744,ses-BAS1
sub-A00053744,ses-TRT
sub-A00053850,ses-BAS1
sub-A00053851,ses-BAS1
sub-A00053854,ses-BAS1
sub-A00053873,ses-BAS1
sub-A00053873,ses-FLU1
sub-A00053873,ses-FLU2
sub-A00053873,ses-TRT
sub-A00053874,ses-BAS1
sub-A00053901,ses-BAS1
sub-A00053902,ses-BAS1
sub-A00053927,ses-BAS1
sub-A00053949,ses-BAS1
sub-A00053949,ses-BAS2
sub-A00053949,ses-FLU1
sub-A00054019,ses-BAS1
sub-A00054038,ses-BAS1
sub-A00054153,ses-BAS1
sub-A00054153,ses-BAS2
sub-A00054153,ses-FLU1
sub-A00054153,ses-FLU2
sub-A00054173,ses-BAS1
sub-A00054206,ses-BAS1
sub-A00054206,ses-FLU1
sub-A00054206,ses-FLU2
sub-A00054206,ses-TRT
sub-A00054358,ses-BAS1
sub-A00054441,ses-BAS1
sub-A00054482,ses-BAS1
sub-A00054504,ses-BAS1
sub-A00054532,ses-BAS1
sub-A00054533,ses-BAS1
sub-A00054534,ses-BAS1
sub-A00054578,ses-BAS1
